Date,CS_Momentum,BuyHold_SPY
2019-11-19,0.824583905792075,1.19912683137695
2019-11-20,0.8197898354550416,1.1946673288013148
2019-11-21,0.8094445426187984,1.1927451227607941
2019-11-22,0.8046382701787086,1.1953979497841216
2019-11-25,0.8038283087873944,1.2046623885220862
2019-11-26,0.8125196077288829,1.2073918927959424
2019-11-27,0.8116656740310737,1.2127738381338111
2019-11-29,0.8350213540481871,1.2082761255860164
2019-12-02,0.8337132792057468,1.1980121808759747
2019-12-03,0.8380343359916875,1.1899777944740932
2019-12-04,0.8265347784253675,1.1973200271715372
2019-12-05,0.8280481587348937,1.1994727795760636
2019-12-06,0.8179601841231321,1.210428749337438
2019-12-09,0.8268059255754473,1.206623061840976
2019-12-10,0.8237569454008267,1.20527747901668
2019-12-11,0.8287425241449711,1.2086991369949738
2019-12-12,0.8086919603687411,1.219116564859178
2019-12-13,0.8154941857046397,1.2198471858419846
2019-12-16,0.806165971569268,1.2282275204429798
2019-12-17,0.8034534109088278,1.2284965340853549
2019-12-18,0.8047370198860954,1.2285735972951983
2019-12-19,0.8051720579267767,1.2336092084746386
2019-12-20,0.8064457293387973,1.2390175276990147
2019-12-23,0.8079484513529144,1.2409107867909297
2019-12-24,0.8135925056321519,1.2409495113755087
2019-12-26,0.8110169014744326,1.2475554623535294
2019-12-27,0.8133066157056048,1.247246308942421
2019-12-30,0.8249032815764911,1.240369929137871
2019-12-31,0.8238872586571354,1.2433831135080624
2020-01-02,0.8217664909020362,1.2550111670895074
2020-01-03,0.8178752807411008,1.2455078195357177
2020-01-06,0.8188219892341585,1.2502596219657174
2020-01-07,0.8223751784295439,1.2467443045270463
2020-01-08,0.8299661057785297,1.2533884654772267
2020-01-09,0.8295450143086673,1.261887289587848
2020-01-10,0.8239626711537096,1.2582561843547542
2020-01-13,0.8299296493655826,1.266909392191272
2020-01-14,0.8287156471695708,1.2649779231271976
2020-01-15,0.8366363194266493,1.2678364664652824
2020-01-16,0.8459464434590237,1.278383190699925
2020-01-17,0.8537374937286177,1.2823623025818112
2020-01-21,0.8641074028024744,1.2798509939738894
2020-01-22,0.8664177947976404,1.2800052490466811
2020-01-23,0.8683067628566722,1.281473824239275
2020-01-24,0.8702836079466875,1.2700768316342554
2020-01-27,0.8656321424280058,1.249718507006449
2020-01-28,0.8663800361613416,1.262814363861858
2020-01-29,0.8706540716686979,1.26177137314032
2020-01-30,0.8833254807711355,1.2658665301228385
2020-01-31,0.8768547355914706,1.2428805944802677
2020-02-03,0.8895212585533623,1.252113513207528
2020-02-04,0.8949584063939312,1.271197528831161
2020-02-05,0.8982870258992004,1.2858768481018523
2020-02-06,0.9050108739253862,1.290204095285636
2020-02-07,0.9011126228743858,1.2833281014404005
2020-02-10,0.9139793155478689,1.292908512204034
2020-02-11,0.9074600530627521,1.295148877373007
2020-02-12,0.9017954417402538,1.3034929317984165
2020-02-13,0.9021267986029786,1.3021024490405055
2020-02-14,0.902970026727809,1.3041886877897915
2020-02-18,0.8968059772734368,1.3008277540770172
2020-02-19,0.9031637882035747,1.3070473597809813
2020-02-20,0.8991410608975572,1.3016772505287646
2020-02-21,0.893129180683909,1.2882728835277713
2020-02-24,0.8829218726904613,1.245546544120296
2020-02-25,0.86666027496999,1.2078038400378757
2020-02-26,0.8757584549855282,1.2033611910189843
2020-02-27,0.8678193541891173,1.149316208747382
2020-02-28,0.8590608367430722,1.1444873431075386
2020-03-02,0.8734339277817363,1.1940510804287752
2020-03-03,0.8616970654047,1.15986254702271
2020-03-04,0.8823642404061728,1.2086149978643588
2020-03-05,0.8913015498537433,1.1684386916493845
2020-03-06,0.9172753525361664,1.1491229717838012
2020-03-09,0.9602110663663657,1.059382863921038
2020-03-10,0.9386774725315132,1.1142008583735161
2020-03-11,0.9365933212344745,1.05988506131607
2020-03-12,0.9173918998012716,0.9584781752872825
2020-03-13,0.922648132508413,1.0404150220511423
2020-03-16,0.9134187756126579,0.9265688602878742
2020-03-17,0.9823873763373177,0.9765961990726685
2020-03-18,1.0347148719645525,0.927148313872407
2020-03-19,0.962442293222813,0.929118700500718
2020-03-20,0.9541663781105691,0.8890787665769527
2020-03-23,0.964346972655431,0.8663466635103773
2020-03-24,0.9781547611073365,0.9448404958805277
2020-03-25,0.9659448183760866,0.9589848755409863
2020-03-26,1.011822352557979,1.0149799815768754
2020-03-27,1.0293894327026443,0.9847481100858888
2020-03-30,1.0635681187716688,1.0167281842929998
2020-03-31,1.0466862356222746,1.001573749105861
2020-04-01,1.0294776254646203,0.9564978823698931
2020-04-02,0.9839196126335863,0.9785696090489447
2020-04-03,0.9434756694836592,0.9644251650619335
2020-04-06,0.9662415354025515,1.0292019390595972
2020-04-07,0.9509621263383906,1.0302511694567238
2020-04-08,0.9430578979885792,1.0648348608745326
2020-04-09,0.9616221217380619,1.0810392340508748
2020-04-13,0.974216571096006,1.071168839188765
2020-04-14,1.0181482778621638,1.10276102428456
2020-04-15,1.050311370711453,1.0793290483272524
2020-04-16,1.0637931217690542,1.0845364114017528
2020-04-17,1.0429431631204027,1.11383574086177
2020-04-20,1.0585287693021284,1.0942121541161276
2020-04-21,1.1108622426130488,1.0609880687110504
2020-04-22,1.1360053798472207,1.084536411401753
2020-04-23,1.124102456603438,1.084458704926385
2020-04-24,1.1466096377264463,1.0995744155289446
2020-04-27,1.1736553375560095,1.1154285949537108
2020-04-28,1.1560335555761694,1.1102993243138932
2020-04-29,1.153737784401687,1.1393654056947011
2020-04-30,1.1356217451765038,1.1287571852759095
2020-05-01,1.1426812245888875,1.0988750572506316
2020-05-04,1.1161395564707202,1.1019061244024062
2020-05-05,1.085050325754161,1.1120867019004637
2020-05-06,1.1152492775412792,1.1045484018711307
2020-05-07,1.1220977558288645,1.1178766062340149
2020-05-08,1.097632479888249,1.136373577739925
2020-05-11,1.1075602605121286,1.1366066971660294
2020-05-12,1.1458213095868572,1.1139525578810319
2020-05-13,1.1831486024128008,1.0942507500476015
2020-05-14,1.1689537593100814,1.107346349596801
2020-05-15,1.1673554474061558,1.1124366383458295
2020-05-18,1.0815562348012502,1.1463211644649827
2020-05-19,1.0950480246871614,1.1345469609563552
2020-05-20,1.0852517794726428,1.1538207399097364
2020-05-21,1.078152625185218,1.1458547969596693
2020-05-22,1.0875684179828002,1.1480308355761852
2020-05-26,1.0485385330821906,1.1621749579304341
2020-05-27,1.045190734088886,1.1794669644557196
2020-05-28,1.0586049816573622,1.1772907971860989
2020-05-29,1.062831552032078,1.1825371421513882
2020-06-01,1.055217654326166,1.1873167336520496
2020-06-02,1.0420626025052289,1.1971477606640557
2020-06-03,1.012463913199778,1.2130793892579803
2020-06-04,0.9914019476653197,1.2098931664616794
2020-06-05,0.9592589322501498,1.2409021670328992
2020-06-08,0.9545294196641307,1.255901189269302
2020-06-09,0.9814596096687302,1.2465367870688193
2020-06-10,1.0144477366153053,1.2395810282985371
2020-06-11,1.0422221141184902,1.1681201465616171
2020-06-12,1.0397695871881716,1.1821093705775496
2020-06-15,1.0489106417094503,1.1931452339170756
2020-06-16,1.0492273932860656,1.2161105850628602
2020-06-17,1.062559758338829,1.2110591495515155
2020-06-18,1.0629960010619173,1.2115253884037238
2020-06-19,1.067403410093529,1.2046015356034603
2020-06-22,1.0819497829679607,1.2123294703094363
2020-06-23,1.0948732818763232,1.2179105706537119
2020-06-24,1.1203020434379443,1.1868430329197561
2020-06-25,1.1283863023976979,1.1995665676895444
2020-06-26,1.1417306798923257,1.171075565687702
2020-06-29,1.1042779208111808,1.1882872926755212
2020-06-30,1.1038803802687778,1.2035090134365303
2020-07-01,1.1261292098025812,1.2119393940953371
2020-07-02,1.1218610494931571,1.218612887953438
2020-07-06,1.116296012040977,1.2374246736070729
2020-07-07,1.1323553171774352,1.2246624142527056
2020-07-08,1.1442365706402,1.2340299041277063
